LAMMPS data file — 125 H2O air/water slab  15.5215 × 15.5215 × 46.5646 Å  z_mult=3.0  (generated by build_slab.py)

375 atoms
2 atom types
250 bonds
1 bond types
125 angles
1 angle types

0 15.521529 xlo xhi
0 15.521529 ylo yhi
0 46.564587 zlo zhi

Masses

1 15.9994
2 1.00794

Atoms # full

   115     39 1  -1.1128     4.06900000     7.73500000    29.70752900 0 0 0
   116     39 2   0.5564     4.21300000     8.71700000    29.58352900 0 0 0
   117     39 2   0.5564     4.90900000     7.31400000    30.04752900 0 0 0
   118     40 1  -1.1128     4.87000000     7.07600000    25.07052900 0 0 0
   119     40 2   0.5564     4.46200000     6.27100000    25.50152900 0 0 0
   120     40 2   0.5564     5.05100000     6.88300000    24.10652900 0 0 0
   121     41 1  -1.1128    12.27800000     8.48500000    19.81252900 0 0 0
   122     41 2   0.5564    12.21000000     7.48800000    19.84852900 0 0 0
   123     41 2   0.5564    11.36100000     8.88100000    19.79252900 0 0 0
   124     42 1  -1.1128     9.68400000     8.11900000    27.73552900 0 0 0
   125     42 2   0.5564     9.59300000     7.15400000    27.98552900 0 0 0
   126     42 2   0.5564    10.55700000     8.26300000    27.27252900 0 0 0
   127     43 1  -1.1128     9.18700000     5.87700000    22.15352900 0 0 0
   128     43 2   0.5564     9.05800000     6.56500000    22.86752900 0 0 0
   129     43 2   0.5564     8.33200000     5.37800000    22.01252900 0 0 0
   130     44 1  -1.1128    12.19800000     1.18300000    22.86252900 0 0 0
   131     44 2   0.5564    11.94100000     0.99900000    23.81152900 0 0 0
   132     44 2   0.5564    13.17500000     1.01300000    22.74352900 0 0 0
   133     45 1  -1.1128     2.13800000     1.78200000    28.82652900 0 0 0
   134     45 2   0.5564     1.38900000     1.11900000    28.84252900 0 0 0
   135     45 2   0.5564     1.79200000     2.68100000    29.09452900 0 0 0
   136     46 1  -1.1128     8.95700000    10.00300000    21.61652900 0 0 0
   137     46 2   0.5564     8.07300000     9.71500000    21.24952900 0 0 0
   138     46 2   0.5564     8.86700000    10.90700000    22.03452900 0 0 0
   139     47 1  -1.1128    13.28700000    13.20900000    24.66052900 0 0 0
   140     47 2   0.5564    14.05000000    12.76600000    25.13152900 0 0 0
   141     47 2   0.5564    12.42800000    12.78200000    24.94052900 0 0 0
   142     48 1  -1.1128     5.27300000     6.16400000    18.12652900 0 0 0
   143     48 2   0.5564     5.31100000     6.99900000    18.67652900 0 0 0
   144     48 2   0.5564     6.17900000     5.97000000    17.75252900 0 0 0
   145     49 1  -1.1128     3.99400000    11.66300000    17.11752900 0 0 0
   146     49 2   0.5564     3.43900000    11.08200000    16.52152900 0 0 0
   147     49 2   0.5564     4.85300000    11.19900000    17.32952900 0 0 0
   148     50 1  -1.1128    12.94700000     0.92600000    26.15352900 0 0 0
   149     50 2   0.5564    12.07300000     1.40500000    26.06252900 0 0 0
   150     50 2   0.5564    13.51000000     1.10400000    25.34752900 0 0 0
   151     51 1  -1.1128    12.33300000    14.01800000    20.58652900 0 0 0
   152     51 2   0.5564    11.56100000    14.52200000    20.97552900 0 0 0
   153     51 2   0.5564    12.08700000    13.05400000    20.49052900 0 0 0
   154     52 1  -1.1128     8.69600000     7.52400000    25.17452900 0 0 0
   155     52 2   0.5564     9.65900000     7.74500000    25.01752900 0 0 0
   156     52 2   0.5564     8.60400000     7.02300000    26.03452900 0 0 0
   157     53 1  -1.1128     3.46900000    11.75000000    28.57252900 0 0 0
   158     53 2   0.5564     2.67900000    11.42700000    29.09452900 0 0 0
   159     53 2   0.5564     4.27600000    11.21900000    28.82752900 0 0 0
   160     54 1  -1.1128    13.87900000     8.54100000    26.91752900 0 0 0
   161     54 2   0.5564    12.89400000     8.69800000    26.98652900 0 0 0
   162     54 2   0.5564    14.36900000     9.29600000    27.35152900 0 0 0
